(Not) The One,Bebe Rexha,All Your Fault: Pt. 2,https://i.scdn.co/image/ba99c03404941dc54d0340da28e368fc7457e22a https://i.scdn.co/image/c89ea26344e4eb73c641e9520d1df684c30722de https://i.scdn.co/image/d0a9b0370891fe68f68467ea32cb60a35e346bf5,AR,2017-08-11,61,1816740,272,590,spotify:track:22BH6K8RlpwNzIINvWS4Jj
(Ooh-Wee) He's Killing Me,Patti Austin,Disco 100,https://i.scdn.co/image/831f879de4aa4c76c04b5991d07a12b09f89126f https://i.scdn.co/image/fbbd414bc5fe370b99ac98b9ff89d67d098eca49 https://i.scdn.co/image/fea632e29d4eeda87b262a5331b1d1db67f20cf4,AR,2009-09-25,785,2061330,553,320,spotify:track:1doc4es6AjX9WRuifoDZqt
(She's) Just a Phase,Puma Blue,Swum Baby,https://i.scdn.co/image/fc867f0b30c96e1b3127b9ac30067e13481c1eb1 https://i.scdn.co/image/a906c87fcf51ca2c66305d14758806f51d56bdb5 https://i.scdn.co/image/f687e42a3b534719f1d969297c3303df9a435b7d,FI,2017-06-14,423,1867270,146,590,spotify:track:0NfKkSlUJWTbECFqrO0bp1
(sic),Slipknot,Slipknot 10th Anniversary Edition,https://i.scdn.co/image/83181f3fa385ac083b74ff40c848d47c79eb51cf https://i.scdn.co/image/2edfd177fc78306ad56ca727a3378597bb78e44d https://i.scdn.co/image/05a12d4750ea226d0edad7f0093c8e56bf84969d,AR,2009-09-09,38,1998810,956,630,spotify:track:1g8lVIsEkDaGD1nKw6fwUb
(Sittin' On) the Dock of the Bay,Guy Sebastian,The Memphis Album,https://i.scdn.co/image/5d7d39a07bc3bb574256fb3447dcf383febbc978 https://i.scdn.co/image/f791ced6228e92500422532d09a80b361afb3a20 https://i.scdn.co/image/73ece71155d9f7db9118a5801114923484b5c60c,AR,2007-03-20,703,2177200,164,230,spotify:track:1DVu9TBCL8h5o6ChDgbB0n
(Sittin' On) the Dock of the Bay,Otis Redding,Dock Of The Bay,height:600 https://i.scdn.co/image/bbd26a561448363412f69987a47c5dcb51a9fd68 width:600 height:300 https://i.scdn.co/image/f8ce9b3c089df9df5f493bb59cedbbfe588f208d https://i.scdn.co/image/f79cd5f62dacd0fcccf787d77a67a13e71ff998e,FI,1968-03-16,769,1637560,81,330,spotify:track:1a3lFsJ7rUPJmfViV7LPDF
(That's What You Get) For Lovin' Me,Waylon Jennings,The Essential Waylon Jennings,https://i.scdn.co/image/2768dc57b7bcdf0e9805f27b82444cd43d504889 https://i.scdn.co/image/b475e579c99a3c292eebf72e4baa3b7f181755d0 https://i.scdn.co/image/869c6023feb38a2b838969731b8762bbf61f28b6,AR,2007-05-01,608,1461330,897,390,spotify:track:1FrG5yYxDbusk4dK3pQ9le
(The Gang That Sang) Heart Of My Heart,Max Bygraves,Timeless Voices: Max Bygraves,https://i.scdn.co/image/d44081b9e33aed2be500a6db54e35f0207ad7971 https://i.scdn.co/image/9f8a6eb299c1c39065ee6ec75ab39b272ab7fb73 https://i.scdn.co/image/7c166ce2bcc864bd9a2717050cd753bceea22971,AR,2008-11-25,639,1673870,147,210,spotify:track:0SWoeNW610T0H2tVvgUMfE
(Theme From) Red Dead Redemption,Bill Elm & Woody Jackson,Red Dead Redemption Original Soundtrack,https://i.scdn.co/image/26aaee64d76be2b5f975783c6b38aad91d450861 https://i.scdn.co/image/2b3595816b69c215d89c53f146b7b98b7cbba625 https://i.scdn.co/image/4ba49632129ec559dcd648c81c3fb63c2de60b3f,AR,2010-05-18,426,3382400,99,490,spotify:track:2cnhi0n4UMWCXQIEaVjnm5
(Theme From) Valley of the Dolls,Dionne Warwick,The Valley Of The Dolls,https://i.scdn.co/image/cc354816652980b03940ff7d90e992431ad74f41 https://i.scdn.co/image/8525139e6a5b1e1de6eac15d2ce342932824462a https://i.scdn.co/image/04d3723fae17205cd2fd559c640564f3f6348af6,AR,1968,23,2188400,59,360,spotify:track:021O8Fvrww2EJB8220tgXo
(This Is Our) House,In Flames,(This Is Our) House,https://i.scdn.co/image/77eb7c17cafe550381303b45bf79c7786457a8d3 https://i.scdn.co/image/77eb7c17cafe5502e6fb8f1baa243ac9b048c3b5 https://i.scdn.co/image/77eb7c17cafe5501d8d95183199db54f11cecb91,FI,2018-12-14,519,2587730,334,500,spotify:track:1PAi7Z7X33Pu3sTxMbE7lP
(This Is Our) House,In Flames,(This Is Our) House,https://i.scdn.co/image/ca5a2e47d176e6d4728cc0633368388380c38206 https://i.scdn.co/image/1a869318e3a7658b7710d8cbb3d1bb51a3d018dc https://i.scdn.co/image/f23d24323f9f697e6cdd52698c29f6dfd98fc283,BE,2018-12-14,519,2587730,334,510,spotify:track:0rLppjtk45sIKqJwY07bOu
(You Drive Me) Crazy,Britney Spears,...Baby One More Time (Digital Deluxe Version),https://i.scdn.co/image/21eb19a80704f8dbf8176d0db0fd517fa32e669c https://i.scdn.co/image/9d5d566ed1af67991ee1816137b58752a2e76d93 https://i.scdn.co/image/19bc0aedd3e232e9deb859de911b2fe7af5570e2,AR,1999,748,1980670,32,620,spotify:track:1DSJNBNhGZCigg9ll5VeZv
(You Make Me Feel Like) A Natural Woman,Aretha Franklin,Soul Queen,https://i.scdn.co/image/0d6ee9be94b49d8f16cdec94b9d1565b30728cc5 https://i.scdn.co/image/f2e9cdb13eda02643fa6633719aacd190e59876d https://i.scdn.co/image/bc88d4a269dbee469db29089b4e3c10227ce8c29,FI,2007-10-29,605,1599330,599,490,spotify:track:29N4xnL6SpjkQiuPaTvQXA
(You Make Me Feel Like) A Natural Woman,Carole King,Tapestry,https://i.scdn.co/image/43b3c479dcef6e30eb362945b535e2e6e5aa2d36 https://i.scdn.co/image/56dd5cce3cb0f4d39c02a4088c576593644b0d8d https://i.scdn.co/image/e916f1cd6ee6d1def2a0a93fffbd31195a97cdff,BE,1971,624,2290670,112,630,spotify:track:0LXljhKMUgoLv8tLwZ1hmf
(You Make Me Feel Like) a Natural Woman - Recorded at Spotify Studios NYC,Caitlyn Smith,Spotify Singles,https://i.scdn.co/image/a103c989ec7b414b378f8692d08fefe549018b7c https://i.scdn.co/image/7a689a6751128105e5fef044ace5da09df358e81 https://i.scdn.co/image/6fdc283db9456b4b6cd1719810b9190bdc894714,FI,2016-11-30,668,1820690,111,460,spotify:track:252Js3mNvVOHzeiStTUTNM
(You're A) Strange Animal,Gowan,Strange Animal,https://i.scdn.co/image/f5ed27e91be40aea58084a779be290fdb2e5e807 https://i.scdn.co/image/fc72269ff2a612b8fb66e14f423446dd5fe32961 https://i.scdn.co/image/a89ca1a2dfd94a3d2ebd9186a48266e5eac20c5f,AR,1985,605,2828000,194,440,spotify:track:0fNRP7t5ObZ5OQMpD8BB9N
(You're The) Devil in Disguise,Elvis Presley,Elvis 30 #1 Hits,https://i.scdn.co/image/efa549a3619dffcbf31e937b3419750195f42282 https://i.scdn.co/image/97f5e9a283a428ab4dbd32ece5009f46f079ab62 https://i.scdn.co/image/f49f7c681ed6a4548328875ee36e9a8f462c59cf,AR,2002-09-24,481,1404270,108,600,spotify:track:0D1pEisM3QkiacGXJe5dmd
. . . Love,Shallou,All Becomes Okay,https://i.scdn.co/image/a597aefb1bf099730bf806aba73967aef4e8bded https://i.scdn.co/image/43e9f269db47b4f857d6b8fae91a6a441da7f889 https://i.scdn.co/image/66488084a3c1e379596be4cc358e320432738c07,BE,2017-05-12,33,2793710,845,530,spotify:track:0wJDdORvufy5dMOPv266QV
. _ _ _ _,Angel Vivaldi,Away With Words Part 1,https://i.scdn.co/image/0ac7d1c6bc7f81c3087e3abc20c2c229ac6c333c https://i.scdn.co/image/02bb2a6e1aad5c9fc3e66c6af7125595c157f85c https://i.scdn.co/image/6890fa0386531c16720995b063a4c82436eb2c84,AR,2014-03-11,176,3117800,981,450,spotify:track:0gkkfUbuGoQ4nGblM1As5L
...And Justice For Whom?,Nervosa,Downfall Of Mankind,https://i.scdn.co/image/1866fc7fcd1107c19ab8ffa7956b09807ba4a5e6 https://i.scdn.co/image/65238253b99e935f01fd2f9b4bfbe2966b1e225a https://i.scdn.co/image/01c1a517e4e362d300bfe7c03b9b8c1270365641,FI,2018-06-01,406,2146000,102,80,spotify:track:0OYwfnrkHVrD1pOIFC3HDs
...Familiar Place,Lucy Dacus,No Burden,https://i.scdn.co/image/67f690b718fb9b9d2310620039a705b1548e1fa9 https://i.scdn.co/image/19191898a9a9bb1d0cd42d8ef9d9e44c8d92e449 https://i.scdn.co/image/18d110409a3eff81d89edb93b18331fb17c8c7aa,AR,2016-06-22,214,1757780,113,630,spotify:track:0lp0bQqzyLmNNHHFYRaaJf
...You,Oceanic,...You,https://i.scdn.co/image/1da62ebb34df71024aba6ee61273f908c3a59865 https://i.scdn.co/image/5f5e6b9ef1bc18abf38e9b5190e0076c9b12531a https://i.scdn.co/image/d0eb3718af5e7a37227a11afed2f6f07ae91fa21,AR,2018-06-14,483,2607840,146,420,spotify:track:11kZ4aofO35gHdJTJqWMxk
/kick,16 bits,Perdiendo Peleas Ganando Amigos (Vol. I),https://i.scdn.co/image/a226996ff6700b0e178b516e0358437315dd62be https://i.scdn.co/image/169c3efdb6b39f6b2896d0728a5d27fb7b7c8cfe https://i.scdn.co/image/edf090d60ce260a35483a12d8f585c66aa30824e,AR,2019-02-14,361,1429820,156,230,spotify:track:1T7hXvQ68m3Q4NdnqTucFY
____45_____,Bon Iver,22 A Million,https://i.scdn.co/image/3a3fc1256e0b30ebedd13dee5d3071744163cd63 https://i.scdn.co/image/52abd9c07908386d56681b87a3c22b54bc904ed6 https://i.scdn.co/image/ddf6cf4e4e4306f371bd24814bb2400e9343851c,FI,2016-09-30,41,1661070,148,560,spotify:track:14iePHBA4OZzeMp0gtMehM
¡ Muevete- Retuercete !,Profetas y Freneticos,Profetas y Freneticos,https://i.scdn.co/image/1bb644c02b4140f44be9b9c525e6be05506fe6c1 https://i.scdn.co/image/896e16ccea281dd4be64cb36abfe24f7bfb96663 https://i.scdn.co/image/d8bad754a90835f3e06c31e3799a762b4e642aac,AR,1992-10-15,785,1767730,386,370,spotify:track:29WK73lMQpLELfHd6PfbjY
¡Arriba Juárez!,Juan Gabriel,Mis Ojos Tristes,https://i.scdn.co/image/0ff9466d9bef30a867b641b0a4dcd8151f8739b0 width:631 height:300 https://i.scdn.co/image/a193b68f50cec33244a97c3f3fa5066b01fdbe70 width:296 height:64 https://i.scdn.co/image/376cec6dac36a92a661ee499667189c67b23be05 width:63,AR,1992,42,1987730,213,420,spotify:track:1A8Pqi4Iu55CFTY0URjT7U
¡Caballo!,Cholo Valderrama,Caballo!,https://i.scdn.co/image/b3c13317055e9041025efb6c56067df494f55195 https://i.scdn.co/image/855531c66a7b9dd0e1760b12cc78e548668234da https://i.scdn.co/image/7a5ddd74b398a792ec212650b4d7954aeee6474b,FI,2008-09-09,638,2968270,91,140,spotify:track:08AL0AQ2AjwBzltbqWolRM
¡Ey Tú!,Octava Providencia,¡Ey Tú!,https://i.scdn.co/image/652dba98a439cfbc939648f0ddff5393bfce43fd https://i.scdn.co/image/3a22093348bcc65ad9e7e9866ef73b4f75a52e56 https://i.scdn.co/image/f4c2d165c22edb981c61292694f2586ef26dcb4a,BE,2018-07-06,565,2014960,107,250,spotify:track:2egPcWFvN3BIaOf0uqYzTb
